,date_range,state,covid_conspiracy,covid_hoax,pizzagate,plandemic,wuhan_lab
66,2020-04-01 2020-04-30,Iowa,9.0,48.0,85.0,0.0,63.0
67,2020-04-01 2020-04-30,Kansas,54.0,20.0,56.0,0.0,53.0
68,2020-04-01 2020-04-30,Kentucky,47.0,33.0,15.0,0.0,37.0
69,2020-04-01 2020-04-30,Louisiana,31.0,7.0,61.0,0.0,30.0
70,2020-04-01 2020-04-30,Maine,36.0,100.0,44.0,0.0,96.0
71,2020-04-01 2020-04-30,Maryland,20.0,4.0,45.0,26.0,43.0
72,2020-04-01 2020-04-30,Massachusetts,54.0,22.0,35.0,44.0,55.0
73,2020-04-01 2020-04-30,Michigan,29.0,25.0,76.0,9.0,49.0
74,2020-04-01 2020-04-30,Minnesota,62.0,13.0,62.0,0.0,32.0
75,2020-04-01 2020-04-30,Mississippi,44.0,25.0,55.0,0.0,43.0
76,2020-04-01 2020-04-30,Missouri,48.0,27.0,54.0,0.0,43.0
77,2020-04-01 2020-04-30,Montana,26.0,29.0,95.0,100.0,100.0
78,2020-04-01 2020-04-30,Nebraska,73.0,27.0,30.0,0.0,42.0
79,2020-04-01 2020-04-30,Nevada,45.0,8.0,65.0,29.0,37.0
80,2020-04-01 2020-04-30,New Hampshire,78.0,35.0,58.0,0.0,69.0
81,2020-04-01 2020-04-30,New Jersey,30.0,26.0,59.0,0.0,62.0
82,2020-04-01 2020-04-30,New Mexico,74.0,14.0,62.0,48.0,24.0
83,2020-04-01 2020-04-30,New York,33.0,16.0,41.0,15.0,48.0
84,2020-04-01 2020-04-30,North Carolina,35.0,36.0,40.0,16.0,36.0
85,2020-04-01 2020-04-30,North Dakota,100.0,0.0,41.0,0.0,81.0
86,2020-04-01 2020-04-30,Ohio,35.0,33.0,64.0,14.0,52.0
87,2020-04-01 2020-04-30,Oklahoma,14.0,47.0,44.0,0.0,21.0
88,2020-04-01 2020-04-30,Oregon,70.0,42.0,40.0,0.0,42.0
89,2020-04-01 2020-04-30,Pennsylvania,27.0,11.0,69.0,0.0,56.0
90,2020-04-01 2020-04-30,Rhode Island,38.0,21.0,0.0,0.0,56.0
91,2020-04-01 2020-04-30,South Carolina,50.0,11.0,100.0,0.0,25.0
92,2020-04-01 2020-04-30,South Dakota,97.0,36.0,80.0,0.0,0.0
93,2020-04-01 2020-04-30,Tennessee,18.0,32.0,66.0,28.0,43.0
94,2020-04-01 2020-04-30,Texas,31.0,14.0,68.0,0.0,35.0
95,2020-04-01 2020-04-30,Utah,42.0,31.0,96.0,0.0,27.0
96,2020-04-01 2020-04-30,Vermont,0.0,0.0,46.0,0.0,73.0
97,2020-04-01 2020-04-30,Virginia,19.0,5.0,71.0,0.0,60.0
98,2020-04-01 2020-04-30,Washington,32.0,16.0,32.0,23.0,55.0
99,2020-04-01 2020-04-30,West Virginia,17.0,19.0,84.0,0.0,33.0
100,2020-04-01 2020-04-30,Wisconsin,31.0,26.0,44.0,0.0,34.0
101,2020-04-01 2020-04-30,Wyoming,0.0,0.0,60.0,0.0,95.0
102,2020-05-01 2020-05-31,Alabama,33.0,14.0,15.0,45.0,44.0
103,2020-05-01 2020-05-31,Alaska,0.0,0.0,0.0,63.0,100.0
104,2020-05-01 2020-05-31,Arizona,7.0,9.0,48.0,52.0,45.0
105,2020-05-01 2020-05-31,Arkansas,39.0,0.0,39.0,52.0,15.0
106,2020-05-01 2020-05-31,California,21.0,33.0,42.0,51.0,42.0
107,2020-05-01 2020-05-31,Colorado,37.0,39.0,30.0,75.0,41.0
108,2020-05-01 2020-05-31,Connecticut,27.0,0.0,36.0,51.0,34.0
109,2020-05-01 2020-05-31,Delaware,23.0,0.0,0.0,42.0,56.0
110,2020-05-01 2020-05-31,District of Columbia,24.0,0.0,0.0,70.0,58.0
111,2020-05-01 2020-05-31,Florida,20.0,10.0,35.0,41.0,39.0
112,2020-05-01 2020-05-31,Georgia,15.0,35.0,41.0,44.0,29.0
113,2020-05-01 2020-05-31,Hawaii,55.0,48.0,49.0,45.0,73.0
114,2020-05-01 2020-05-31,Idaho,15.0,39.0,100.0,66.0,24.0
115,2020-05-01 2020-05-31,Illinois,29.0,21.0,30.0,55.0,52.0
116,2020-05-01 2020-05-31,Indiana,8.0,30.0,41.0,53.0,46.0
117,2020-05-01 2020-05-31,Iowa,16.0,21.0,43.0,63.0,32.0
118,2020-05-01 2020-05-31,Kansas,28.0,73.0,37.0,60.0,30.0
119,2020-05-01 2020-05-31,Kentucky,18.0,15.0,63.0,49.0,66.0
120,2020-05-01 2020-05-31,Louisiana,36.0,31.0,32.0,35.0,33.0
121,2020-05-01 2020-05-31,Maine,0.0,46.0,24.0,83.0,71.0
122,2020-05-01 2020-05-31,Maryland,16.0,42.0,30.0,45.0,61.0
123,2020-05-01 2020-05-31,Massachusetts,17.0,14.0,41.0,54.0,35.0
124,2020-05-01 2020-05-31,Michigan,30.0,30.0,37.0,65.0,48.0
125,2020-05-01 2020-05-31,Minnesota,27.0,71.0,10.0,74.0,40.0
126,2020-05-01 2020-05-31,Mississippi,11.0,29.0,29.0,36.0,62.0
127,2020-05-01 2020-05-31,Missouri,16.0,20.0,31.0,61.0,59.0
128,2020-05-01 2020-05-31,Montana,0.0,0.0,35.0,72.0,0.0
129,2020-05-01 2020-05-31,Nebraska,36.0,62.0,32.0,76.0,47.0
130,2020-05-01 2020-05-31,Nevada,22.0,0.0,59.0,47.0,17.0
131,2020-05-01 2020-05-31,New Hampshire,32.0,41.0,21.0,100.0,50.0
132,2020-05-01 2020-05-31,New Jersey,31.0,21.0,38.0,55.0,64.0
133,2020-05-01 2020-05-31,New Mexico,25.0,32.0,33.0,34.0,20.0
134,2020-05-01 2020-05-31,New York,24.0,27.0,33.0,50.0,49.0
135,2020-05-01 2020-05-31,North Carolina,25.0,0.0,33.0,58.0,36.0
136,2020-05-01 2020-05-31,North Dakota,71.0,92.0,47.0,53.0,0.0
137,2020-05-01 2020-05-31,Ohio,30.0,24.0,30.0,67.0,40.0
138,2020-05-01 2020-05-31,Oklahoma,30.0,19.0,20.0,50.0,41.0
139,2020-05-01 2020-05-31,Oregon,47.0,27.0,34.0,67.0,49.0
140,2020-05-01 2020-05-31,Pennsylvania,30.0,26.0,42.0,65.0,36.0
141,2020-05-01 2020-05-31,Rhode Island,74.0,48.0,25.0,63.0,44.0
142,2020-05-01 2020-05-31,South Carolina,5.0,25.0,33.0,49.0,54.0
143,2020-05-01 2020-05-31,South Dakota,0.0,0.0,0.0,70.0,27.0
144,2020-05-01 2020-05-31,Tennessee,36.0,74.0,33.0,69.0,37.0
145,2020-05-01 2020-05-31,Texas,16.0,25.0,37.0,41.0,33.0
146,2020-05-01 2020-05-31,Utah,0.0,37.0,19.0,59.0,28.0
147,2020-05-01 2020-05-31,Vermont,77.0,100.0,51.0,68.0,30.0
148,2020-05-01 2020-05-31,Virginia,17.0,43.0,28.0,40.0,30.0
149,2020-05-01 2020-05-31,Washington,31.0,15.0,67.0,72.0,36.0
150,2020-05-01 2020-05-31,West Virginia,35.0,0.0,23.0,58.0,42.0
151,2020-05-01 2020-05-31,Wisconsin,27.0,10.0,31.0,68.0,25.0
152,2020-05-01 2020-05-31,Wyoming,100.0,0.0,0.0,54.0,0.0
153,2020-06-01 2020-06-30,Alabama,0.0,51.0,71.0,57.0,29.0
154,2020-06-01 2020-06-30,Alaska,86.0,100.0,0.0,0.0,0.0
155,2020-06-01 2020-06-30,Arizona,19.0,23.0,71.0,33.0,50.0
156,2020-06-01 2020-06-30,Arkansas,0.0,0.0,63.0,0.0,0.0
157,2020-06-01 2020-06-30,California,28.0,23.0,55.0,49.0,51.0
158,2020-06-01 2020-06-30,Colorado,22.0,43.0,68.0,58.0,0.0
159,2020-06-01 2020-06-30,Connecticut,22.0,38.0,64.0,56.0,56.0
160,2020-06-01 2020-06-30,Delaware,46.0,54.0,62.0,60.0,0.0
161,2020-06-01 2020-06-30,District of Columbia,0.0,57.0,25.0,0.0,0.0
