,date_range,DMA,covid_conspiracy,covid_hoax,pizzagate,plandemic,wuhan_lab
67,2020-03-01 2021-01-31,Fresno-Visalia CA,30.0,19.0,43.0,27.0,24.0
68,2020-03-01 2021-01-31,Ft. Myers-Naples FL,46.0,51.0,50.0,35.0,70.0
69,2020-03-01 2021-01-31,Ft. Smith-Fayetteville-Springdale-Rogers AR,0.0,0.0,51.0,34.0,85.0
70,2020-03-01 2021-01-31,Ft. Wayne IN,0.0,0.0,72.0,37.0,69.0
71,2020-03-01 2021-01-31,Gainesville FL,0.0,0.0,32.0,7.0,37.0
72,2020-03-01 2021-01-31,Glendive MT,0.0,0.0,0.0,0.0,0.0
73,2020-03-01 2021-01-31,Grand Junction-Montrose CO,0.0,0.0,63.0,32.0,0.0
74,2020-03-01 2021-01-31,Grand Rapids-Kalamazoo-Battle Creek MI,66.0,51.0,47.0,31.0,37.0
75,2020-03-01 2021-01-31,Great Falls MT,0.0,0.0,52.0,35.0,0.0
76,2020-03-01 2021-01-31,Green Bay-Appleton WI,0.0,51.0,37.0,29.0,42.0
77,2020-03-01 2021-01-31,Greensboro-High Point-Winston Salem NC,0.0,49.0,39.0,27.0,32.0
78,2020-03-01 2021-01-31,Greenville-New Bern-Washington NC,0.0,0.0,57.0,32.0,6.0
79,2020-03-01 2021-01-31,Greenville-Spartanburg SC-Asheville NC-Anderson SC,66.0,36.0,45.0,29.0,30.0
80,2020-03-01 2021-01-31,Greenwood-Greenville MS,0.0,0.0,36.0,28.0,0.0
81,2020-03-01 2021-01-31,Harlingen-Weslaco-Brownsville-McAllen TX,0.0,0.0,40.0,6.0,14.0
82,2020-03-01 2021-01-31,Harrisburg-Lancaster-Lebanon-York PA,100.0,46.0,39.0,37.0,55.0
83,2020-03-01 2021-01-31,Harrisonburg VA,0.0,0.0,39.0,25.0,85.0
84,2020-03-01 2021-01-31,Hartford & New Haven CT,81.0,35.0,33.0,25.0,50.0
85,2020-03-01 2021-01-31,Hattiesburg-Laurel MS,0.0,0.0,44.0,22.0,0.0
86,2020-03-01 2021-01-31,Helena MT,0.0,0.0,70.0,100.0,0.0
87,2020-03-01 2021-01-31,Honolulu HI,82.0,53.0,55.0,19.0,65.0
88,2020-03-01 2021-01-31,Houston TX,43.0,39.0,47.0,19.0,37.0
89,2020-03-01 2021-01-31,Huntsville-Decatur (Florence) AL,0.0,0.0,52.0,33.0,41.0
90,2020-03-01 2021-01-31,Idaho Falls-Pocatello ID,0.0,0.0,47.0,29.0,27.0
91,2020-03-01 2021-01-31,Indianapolis IN,59.0,41.0,48.0,26.0,41.0
92,2020-03-01 2021-01-31,Jackson MS,0.0,0.0,44.0,25.0,36.0
93,2020-03-01 2021-01-31,Jackson TN,0.0,0.0,60.0,23.0,0.0
94,2020-03-01 2021-01-31,Jacksonville FL,31.0,55.0,46.0,26.0,53.0
95,2020-03-01 2021-01-31,Johnstown-Altoona PA,0.0,0.0,46.0,27.0,48.0
96,2020-03-01 2021-01-31,Jonesboro AR,0.0,0.0,100.0,26.0,0.0
97,2020-03-01 2021-01-31,Joplin MO-Pittsburg KS,0.0,0.0,58.0,15.0,50.0
98,2020-03-01 2021-01-31,Juneau AK,0.0,0.0,0.0,53.0,0.0
99,2020-03-01 2021-01-31,Kansas City MO,51.0,46.0,45.0,32.0,39.0
100,2020-03-01 2021-01-31,Knoxville TN,0.0,47.0,48.0,34.0,51.0
101,2020-03-01 2021-01-31,La Crosse-Eau Claire WI,0.0,0.0,36.0,26.0,29.0
102,2020-03-01 2021-01-31,Lafayette IN,0.0,0.0,27.0,10.0,0.0
103,2020-03-01 2021-01-31,Lafayette LA,0.0,0.0,49.0,3.0,61.0
104,2020-03-01 2021-01-31,Lake Charles LA,0.0,0.0,95.0,23.0,0.0
105,2020-03-01 2021-01-31,Lansing MI,0.0,0.0,39.0,34.0,15.0
106,2020-03-01 2021-01-31,Laredo TX,0.0,0.0,53.0,5.0,0.0
107,2020-03-01 2021-01-31,Las Vegas NV,53.0,48.0,45.0,27.0,26.0
108,2020-03-01 2021-01-31,Lexington KY,0.0,38.0,63.0,34.0,38.0
109,2020-03-01 2021-01-31,Lima OH,0.0,0.0,51.0,46.0,0.0
110,2020-03-01 2021-01-31,Lincoln & Hastings-Kearney NE,43.0,0.0,34.0,32.0,53.0
111,2020-03-01 2021-01-31,Little Rock-Pine Bluff AR,0.0,14.0,42.0,18.0,48.0
112,2020-03-01 2021-01-31,Los Angeles CA,57.0,54.0,43.0,29.0,38.0
113,2020-03-01 2021-01-31,Louisville KY,0.0,63.0,41.0,20.0,21.0
114,2020-03-01 2021-01-31,Lubbock TX,0.0,0.0,38.0,18.0,12.0
115,2020-03-01 2021-01-31,Macon GA,0.0,0.0,30.0,18.0,0.0
116,2020-03-01 2021-01-31,Madison WI,0.0,81.0,28.0,31.0,27.0
117,2020-03-01 2021-01-31,Mankato MN,0.0,0.0,69.0,67.0,0.0
118,2020-03-01 2021-01-31,Marquette MI,0.0,0.0,28.0,48.0,0.0
119,2020-03-01 2021-01-31,Medford-Klamath Falls OR,0.0,0.0,57.0,34.0,0.0
120,2020-03-01 2021-01-31,Memphis TN,0.0,33.0,39.0,26.0,36.0
121,2020-03-01 2021-01-31,Meridian MS,0.0,0.0,13.0,15.0,0.0
122,2020-03-01 2021-01-31,Miami-Ft. Lauderdale FL,40.0,28.0,35.0,18.0,47.0
123,2020-03-01 2021-01-31,Milwaukee WI,88.0,54.0,40.0,34.0,43.0
124,2020-03-01 2021-01-31,Minneapolis-St. Paul MN,73.0,57.0,40.0,46.0,37.0
125,2020-03-01 2021-01-31,Minot-Bismarck-Dickinson(Williston) ND,0.0,0.0,54.0,25.0,0.0
126,2020-03-01 2021-01-31,Missoula MT,0.0,0.0,49.0,40.0,100.0
127,2020-03-01 2021-01-31,Mobile AL-Pensacola (Ft. Walton Beach) FL,0.0,19.0,59.0,27.0,44.0
128,2020-03-01 2021-01-31,Monroe LA-El Dorado AR,0.0,0.0,74.0,24.0,0.0
129,2020-03-01 2021-01-31,Monterey-Salinas CA,0.0,25.0,38.0,46.0,55.0
130,2020-03-01 2021-01-31,Montgomery (Selma) AL,0.0,0.0,35.0,17.0,0.0
131,2020-03-01 2021-01-31,Nashville TN,73.0,57.0,48.0,42.0,36.0
132,2020-03-01 2021-01-31,New Orleans LA,34.0,10.0,51.0,25.0,39.0
133,2020-03-01 2021-01-31,New York NY,36.0,35.0,32.0,28.0,43.0
134,2020-03-01 2021-01-31,Norfolk-Portsmouth-Newport News VA,15.0,44.0,50.0,21.0,48.0
135,2020-03-01 2021-01-31,North Platte NE,0.0,0.0,74.0,0.0,0.0
136,2020-03-01 2021-01-31,Odessa-Midland TX,0.0,0.0,53.0,39.0,0.0
137,2020-03-01 2021-01-31,Oklahoma City OK,0.0,49.0,65.0,27.0,51.0
138,2020-03-01 2021-01-31,Omaha NE,67.0,13.0,50.0,38.0,46.0
139,2020-03-01 2021-01-31,Orlando-Daytona Beach-Melbourne FL,49.0,45.0,47.0,25.0,37.0
140,2020-03-01 2021-01-31,Ottumwa IA-Kirksville MO,0.0,0.0,0.0,17.0,0.0
141,2020-03-01 2021-01-31,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0.0,0.0,94.0,17.0,35.0
142,2020-03-01 2021-01-31,Palm Springs CA,0.0,0.0,55.0,28.0,69.0
143,2020-03-01 2021-01-31,Panama City FL,0.0,0.0,69.0,16.0,0.0
144,2020-03-01 2021-01-31,Parkersburg WV,0.0,0.0,43.0,0.0,0.0
145,2020-03-01 2021-01-31,Peoria-Bloomington IL,0.0,0.0,52.0,26.0,31.0
146,2020-03-01 2021-01-31,Philadelphia PA,51.0,40.0,41.0,30.0,51.0
147,2020-03-01 2021-01-31,Phoenix AZ,42.0,42.0,58.0,30.0,53.0
148,2020-03-01 2021-01-31,Pittsburgh PA,49.0,47.0,50.0,35.0,59.0
149,2020-03-01 2021-01-31,Portland OR,68.0,71.0,45.0,33.0,54.0
150,2020-03-01 2021-01-31,Portland-Auburn ME,68.0,57.0,43.0,36.0,76.0
151,2020-03-01 2021-01-31,Presque Isle ME,0.0,0.0,0.0,0.0,0.0
152,2020-03-01 2021-01-31,Providence RI-New Bedford MA,74.0,48.0,35.0,23.0,60.0
153,2020-03-01 2021-01-31,Quincy IL-Hannibal MO-Keokuk IA,0.0,0.0,74.0,38.0,0.0
154,2020-03-01 2021-01-31,Raleigh-Durham (Fayetteville) NC,52.0,43.0,38.0,23.0,47.0
155,2020-03-01 2021-01-31,Rapid City SD,0.0,0.0,75.0,39.0,0.0
156,2020-03-01 2021-01-31,Reno NV,0.0,34.0,31.0,39.0,37.0
157,2020-03-01 2021-01-31,Richmond-Petersburg VA,63.0,39.0,31.0,25.0,30.0
158,2020-03-01 2021-01-31,Roanoke-Lynchburg VA,0.0,0.0,48.0,27.0,34.0
159,2020-03-01 2021-01-31,Rochester MN-Mason City IA-Austin MN,0.0,0.0,60.0,40.0,0.0
160,2020-03-01 2021-01-31,Rochester NY,41.0,48.0,37.0,35.0,65.0
161,2020-03-01 2021-01-31,Rockford IL,0.0,0.0,14.0,33.0,65.0
162,2020-03-01 2021-01-31,Sacramento-Stockton-Modesto CA,44.0,46.0,45.0,30.0,31.0
163,2020-03-01 2021-01-31,Salisbury MD,0.0,0.0,52.0,6.0,62.0
164,2020-03-01 2021-01-31,Salt Lake City UT,69.0,47.0,57.0,36.0,35.0
165,2020-03-01 2021-01-31,San Angelo TX,0.0,0.0,40.0,9.0,0.0
166,2020-03-01 2021-01-31,San Antonio TX,49.0,35.0,56.0,22.0,42.0
167,2020-03-01 2021-01-31,San Diego CA,76.0,51.0,42.0,43.0,50.0
168,2020-03-01 2021-01-31,San Francisco-Oakland-San Jose CA,55.0,53.0,25.0,23.0,45.0
169,2020-03-01 2021-01-31,Santa Barbara-Santa Maria-San Luis Obispo CA,62.0,0.0,37.0,48.0,46.0
170,2020-03-01 2021-01-31,Savannah GA,0.0,0.0,67.0,23.0,30.0
171,2020-03-01 2021-01-31,Seattle-Tacoma WA,58.0,73.0,42.0,36.0,47.0
172,2020-03-01 2021-01-31,Sherman TX-Ada OK,0.0,0.0,55.0,23.0,0.0
173,2020-03-01 2021-01-31,Shreveport LA,0.0,0.0,36.0,26.0,40.0
174,2020-03-01 2021-01-31,Sioux City IA,0.0,0.0,29.0,37.0,0.0
175,2020-03-01 2021-01-31,Sioux Falls(Mitchell) SD,0.0,0.0,50.0,49.0,32.0
176,2020-03-01 2021-01-31,South Bend-Elkhart IN,0.0,0.0,58.0,19.0,87.0
177,2020-03-01 2021-01-31,Spokane WA,59.0,57.0,54.0,43.0,57.0
178,2020-03-01 2021-01-31,Springfield MO,0.0,0.0,38.0,37.0,37.0
179,2020-03-01 2021-01-31,Springfield-Holyoke MA,0.0,0.0,28.0,28.0,46.0
180,2020-03-01 2021-01-31,St. Joseph MO,0.0,0.0,42.0,16.0,0.0
181,2020-03-01 2021-01-31,St. Louis MO,58.0,25.0,48.0,33.0,32.0
182,2020-03-01 2021-01-31,Syracuse NY,0.0,35.0,53.0,19.0,95.0
