,date_range,DMA,covid conspiracy,covid hoax,pizzagate,plandemic,wuhan lab
742,2020-06-01 2020-06-30,Los Angeles CA,30.0,32.0,12.0,13.0,5.0
743,2020-06-01 2020-06-30,Louisville KY,0.0,68.0,11.0,0.0,31.0
744,2020-06-01 2020-06-30,Lubbock TX,0.0,0.0,32.0,37.0,0.0
745,2020-06-01 2020-06-30,Macon GA,0.0,0.0,15.0,0.0,0.0
746,2020-06-01 2020-06-30,Madison WI,0.0,58.0,16.0,0.0,0.0
747,2020-06-01 2020-06-30,Mankato MN,0.0,0.0,27.0,0.0,0.0
748,2020-06-01 2020-06-30,Marquette MI,0.0,0.0,10.0,0.0,0.0
749,2020-06-01 2020-06-30,Medford-Klamath Falls OR,0.0,0.0,8.0,0.0,0.0
750,2020-06-01 2020-06-30,Memphis TN,0.0,0.0,13.0,9.0,0.0
751,2020-06-01 2020-06-30,Meridian MS,0.0,0.0,0.0,0.0,0.0
752,2020-06-01 2020-06-30,Miami-Ft. Lauderdale FL,19.0,22.0,10.0,5.0,0.0
753,2020-06-01 2020-06-30,Milwaukee WI,81.0,23.0,11.0,5.0,21.0
754,2020-06-01 2020-06-30,Minneapolis-St. Paul MN,20.0,34.0,8.0,15.0,0.0
755,2020-06-01 2020-06-30,Minot-Bismarck-Dickinson(Williston) ND,0.0,0.0,20.0,0.0,0.0
756,2020-06-01 2020-06-30,Missoula MT,0.0,0.0,29.0,48.0,100.0
757,2020-06-01 2020-06-30,Mobile AL-Pensacola (Ft. Walton Beach) FL,0.0,0.0,9.0,9.0,0.0
758,2020-06-01 2020-06-30,Monroe LA-El Dorado AR,0.0,0.0,18.0,0.0,0.0
759,2020-06-01 2020-06-30,Monterey-Salinas CA,0.0,88.0,9.0,58.0,0.0
760,2020-06-01 2020-06-30,Montgomery (Selma) AL,0.0,0.0,19.0,0.0,0.0
761,2020-06-01 2020-06-30,Nashville TN,0.0,37.0,13.0,4.0,17.0
762,2020-06-01 2020-06-30,New Orleans LA,0.0,69.0,15.0,0.0,0.0
763,2020-06-01 2020-06-30,New York NY,17.0,13.0,11.0,8.0,10.0
764,2020-06-01 2020-06-30,Norfolk-Portsmouth-Newport News VA,0.0,0.0,16.0,0.0,0.0
765,2020-06-01 2020-06-30,North Platte NE,0.0,0.0,100.0,0.0,0.0
766,2020-06-01 2020-06-30,Odessa-Midland TX,0.0,0.0,13.0,0.0,0.0
767,2020-06-01 2020-06-30,Oklahoma City OK,0.0,0.0,14.0,8.0,17.0
768,2020-06-01 2020-06-30,Omaha NE,0.0,0.0,14.0,10.0,0.0
769,2020-06-01 2020-06-30,Orlando-Daytona Beach-Melbourne FL,0.0,23.0,11.0,5.0,5.0
770,2020-06-01 2020-06-30,Ottumwa IA-Kirksville MO,0.0,0.0,0.0,0.0,0.0
771,2020-06-01 2020-06-30,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0.0,0.0,20.0,0.0,0.0
772,2020-06-01 2020-06-30,Palm Springs CA,0.0,0.0,4.0,0.0,72.0
773,2020-06-01 2020-06-30,Panama City FL,0.0,0.0,25.0,0.0,0.0
774,2020-06-01 2020-06-30,Parkersburg WV,0.0,0.0,0.0,0.0,0.0
775,2020-06-01 2020-06-30,Peoria-Bloomington IL,0.0,0.0,14.0,0.0,0.0
776,2020-06-01 2020-06-30,Philadelphia PA,11.0,36.0,12.0,5.0,6.0
777,2020-06-01 2020-06-30,Phoenix AZ,9.0,0.0,18.0,13.0,9.0
778,2020-06-01 2020-06-30,Pittsburgh PA,19.0,21.0,9.0,14.0,0.0
779,2020-06-01 2020-06-30,Portland OR,41.0,62.0,13.0,7.0,0.0
780,2020-06-01 2020-06-30,Portland-Auburn ME,100.0,0.0,12.0,12.0,26.0
781,2020-06-01 2020-06-30,Presque Isle ME,0.0,0.0,0.0,0.0,0.0
782,2020-06-01 2020-06-30,Providence RI-New Bedford MA,0.0,0.0,13.0,0.0,15.0
783,2020-06-01 2020-06-30,Quincy IL-Hannibal MO-Keokuk IA,0.0,0.0,19.0,0.0,0.0
784,2020-06-01 2020-06-30,Raleigh-Durham (Fayetteville) NC,13.0,29.0,12.0,13.0,0.0
785,2020-06-01 2020-06-30,Rapid City SD,0.0,0.0,15.0,0.0,0.0
786,2020-06-01 2020-06-30,Reno NV,0.0,0.0,24.0,18.0,0.0
787,2020-06-01 2020-06-30,Richmond-Petersburg VA,0.0,38.0,16.0,8.0,18.0
788,2020-06-01 2020-06-30,Roanoke-Lynchburg VA,0.0,0.0,11.0,13.0,0.0
789,2020-06-01 2020-06-30,Rochester MN-Mason City IA-Austin MN,0.0,0.0,9.0,38.0,0.0
790,2020-06-01 2020-06-30,Rochester NY,0.0,57.0,9.0,12.0,0.0
791,2020-06-01 2020-06-30,Rockford IL,0.0,0.0,15.0,0.0,0.0
792,2020-06-01 2020-06-30,Sacramento-Stockton-Modesto CA,23.0,40.0,10.0,9.0,18.0
793,2020-06-01 2020-06-30,Salisbury MD,0.0,0.0,23.0,0.0,0.0
794,2020-06-01 2020-06-30,Salt Lake City UT,47.0,53.0,15.0,16.0,0.0
795,2020-06-01 2020-06-30,San Angelo TX,0.0,0.0,21.0,0.0,0.0
796,2020-06-01 2020-06-30,San Antonio TX,0.0,0.0,16.0,5.0,10.0
797,2020-06-01 2020-06-30,San Diego CA,0.0,15.0,15.0,0.0,7.0
798,2020-06-01 2020-06-30,San Francisco-Oakland-San Jose CA,29.0,33.0,10.0,10.0,15.0
799,2020-06-01 2020-06-30,Santa Barbara-Santa Maria-San Luis Obispo CA,75.0,0.0,16.0,0.0,0.0
800,2020-06-01 2020-06-30,Savannah GA,0.0,0.0,10.0,0.0,0.0
801,2020-06-01 2020-06-30,Seattle-Tacoma WA,16.0,18.0,12.0,8.0,4.0
802,2020-06-01 2020-06-30,Sherman TX-Ada OK,0.0,0.0,35.0,0.0,0.0
803,2020-06-01 2020-06-30,Shreveport LA,0.0,0.0,5.0,0.0,0.0
804,2020-06-01 2020-06-30,Sioux City IA,0.0,0.0,17.0,0.0,0.0
805,2020-06-01 2020-06-30,Sioux Falls(Mitchell) SD,0.0,0.0,9.0,0.0,0.0
806,2020-06-01 2020-06-30,South Bend-Elkhart IN,0.0,0.0,15.0,0.0,0.0
807,2020-06-01 2020-06-30,Spokane WA,51.0,58.0,15.0,13.0,27.0
808,2020-06-01 2020-06-30,Springfield MO,0.0,0.0,6.0,0.0,0.0
809,2020-06-01 2020-06-30,Springfield-Holyoke MA,0.0,0.0,11.0,0.0,39.0
810,2020-06-01 2020-06-30,St. Joseph MO,0.0,0.0,0.0,0.0,0.0
811,2020-06-01 2020-06-30,St. Louis MO,16.0,18.0,12.0,12.0,8.0
812,2020-06-01 2020-06-30,Syracuse NY,0.0,0.0,10.0,0.0,30.0
813,2020-06-01 2020-06-30,Tallahassee FL-Thomasville GA,0.0,0.0,5.0,0.0,44.0
814,2020-06-01 2020-06-30,Tampa-St. Petersburg (Sarasota) FL,10.0,22.0,14.0,2.0,10.0
815,2020-06-01 2020-06-30,Terre Haute IN,0.0,0.0,7.0,0.0,0.0
816,2020-06-01 2020-06-30,Toledo OH,0.0,0.0,3.0,14.0,0.0
817,2020-06-01 2020-06-30,Topeka KS,0.0,0.0,0.0,0.0,0.0
818,2020-06-01 2020-06-30,Traverse City-Cadillac MI,0.0,0.0,9.0,0.0,0.0
819,2020-06-01 2020-06-30,Tri-Cities TN-VA,0.0,0.0,5.0,0.0,0.0
820,2020-06-01 2020-06-30,Tucson (Sierra Vista) AZ,0.0,0.0,17.0,0.0,50.0
821,2020-06-01 2020-06-30,Tulsa OK,0.0,53.0,23.0,0.0,0.0
822,2020-06-01 2020-06-30,Twin Falls ID,0.0,0.0,0.0,0.0,0.0
823,2020-06-01 2020-06-30,Tyler-Longview(Lufkin & Nacogdoches) TX,0.0,0.0,12.0,0.0,0.0
824,2020-06-01 2020-06-30,Utica NY,0.0,0.0,7.0,0.0,0.0
825,2020-06-01 2020-06-30,Victoria TX,0.0,0.0,0.0,0.0,0.0
826,2020-06-01 2020-06-30,Waco-Temple-Bryan TX,0.0,0.0,19.0,0.0,0.0
827,2020-06-01 2020-06-30,Washington DC (Hagerstown MD),11.0,25.0,8.0,4.0,3.0
828,2020-06-01 2020-06-30,Watertown NY,0.0,0.0,40.0,0.0,0.0
829,2020-06-01 2020-06-30,Wausau-Rhinelander WI,0.0,0.0,4.0,0.0,0.0
830,2020-06-01 2020-06-30,West Palm Beach-Ft. Pierce FL,25.0,0.0,18.0,6.0,13.0
831,2020-06-01 2020-06-30,Wheeling WV-Steubenville OH,0.0,0.0,15.0,0.0,0.0
832,2020-06-01 2020-06-30,Wichita Falls TX & Lawton OK,0.0,0.0,15.0,0.0,0.0
833,2020-06-01 2020-06-30,Wichita-Hutchinson KS,0.0,0.0,7.0,0.0,0.0
834,2020-06-01 2020-06-30,Wilkes Barre-Scranton PA,0.0,47.0,8.0,0.0,0.0
835,2020-06-01 2020-06-30,Wilmington NC,0.0,0.0,6.0,0.0,0.0
836,2020-06-01 2020-06-30,Yakima-Pasco-Richland-Kennewick WA,0.0,0.0,16.0,0.0,0.0
837,2020-06-01 2020-06-30,Youngstown OH,0.0,0.0,15.0,0.0,0.0
838,2020-06-01 2020-06-30,Yuma AZ-El Centro CA,0.0,0.0,5.0,0.0,0.0
839,2020-06-01 2020-06-30,Zanesville OH,0.0,0.0,0.0,0.0,0.0
840,2020-07-01 2020-07-31,Abilene-Sweetwater TX,0.0,0.0,37.0,50.0,0.0
841,2020-07-01 2020-07-31,Albany GA,0.0,0.0,18.0,0.0,0.0
842,2020-07-01 2020-07-31,Albany-Schenectady-Troy NY,25.0,16.0,12.0,26.0,0.0
843,2020-07-01 2020-07-31,Albuquerque-Santa Fe NM,45.0,15.0,20.0,6.0,0.0
844,2020-07-01 2020-07-31,Alexandria LA,0.0,0.0,11.0,0.0,0.0
845,2020-07-01 2020-07-31,Alpena MI,0.0,0.0,52.0,0.0,0.0
846,2020-07-01 2020-07-31,Amarillo TX,0.0,0.0,25.0,0.0,0.0
847,2020-07-01 2020-07-31,Anchorage AK,0.0,0.0,12.0,0.0,0.0
848,2020-07-01 2020-07-31,Atlanta GA,9.0,5.0,19.0,8.0,4.0
849,2020-07-01 2020-07-31,Augusta GA,0.0,0.0,13.0,0.0,0.0
850,2020-07-01 2020-07-31,Austin TX,28.0,62.0,16.0,4.0,7.0
851,2020-07-01 2020-07-31,Bakersfield CA,0.0,0.0,18.0,0.0,0.0
852,2020-07-01 2020-07-31,Baltimore MD,52.0,17.0,13.0,3.0,14.0
853,2020-07-01 2020-07-31,Bangor ME,0.0,0.0,26.0,0.0,0.0
854,2020-07-01 2020-07-31,Baton Rouge LA,0.0,0.0,15.0,0.0,0.0
855,2020-07-01 2020-07-31,Beaumont-Port Arthur TX,0.0,0.0,24.0,63.0,0.0
856,2020-07-01 2020-07-31,Bend OR,0.0,0.0,23.0,0.0,0.0
857,2020-07-01 2020-07-31,"Billings, MT",0.0,0.0,21.0,0.0,0.0
858,2020-07-01 2020-07-31,Biloxi-Gulfport MS,0.0,0.0,43.0,0.0,0.0
859,2020-07-01 2020-07-31,Binghamton NY,0.0,0.0,12.0,0.0,78.0
860,2020-07-01 2020-07-31,Birmingham AL,46.0,0.0,32.0,0.0,12.0
861,2020-07-01 2020-07-31,Bluefield-Beckley-Oak Hill WV,0.0,0.0,31.0,0.0,0.0
862,2020-07-01 2020-07-31,Boise ID,0.0,100.0,16.0,0.0,27.0
863,2020-07-01 2020-07-31,Boston MA-Manchester NH,36.0,7.0,12.0,9.0,21.0
864,2020-07-01 2020-07-31,Bowling Green KY,0.0,0.0,26.0,0.0,0.0
865,2020-07-01 2020-07-31,Buffalo NY,0.0,0.0,16.0,0.0,0.0
866,2020-07-01 2020-07-31,Burlington VT-Plattsburgh NY,0.0,33.0,6.0,0.0,27.0
867,2020-07-01 2020-07-31,Butte-Bozeman MT,0.0,0.0,8.0,0.0,0.0
868,2020-07-01 2020-07-31,Casper-Riverton WY,0.0,0.0,0.0,100.0,0.0
869,2020-07-01 2020-07-31,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0.0,32.0,20.0,26.0,26.0
870,2020-07-01 2020-07-31,Champaign & Springfield-Decatur IL,0.0,0.0,19.0,0.0,0.0
871,2020-07-01 2020-07-31,Charleston SC,0.0,0.0,18.0,11.0,22.0
872,2020-07-01 2020-07-31,Charleston-Huntington WV,0.0,0.0,40.0,15.0,0.0
873,2020-07-01 2020-07-31,Charlotte NC,35.0,23.0,21.0,6.0,18.0
874,2020-07-01 2020-07-31,Charlottesville VA,0.0,0.0,7.0,0.0,0.0
875,2020-07-01 2020-07-31,Chattanooga TN,0.0,0.0,29.0,13.0,25.0
876,2020-07-01 2020-07-31,Cheyenne WY-Scottsbluff NE,0.0,0.0,26.0,0.0,0.0
877,2020-07-01 2020-07-31,Chicago IL,42.0,16.0,18.0,8.0,9.0
878,2020-07-01 2020-07-31,Chico-Redding CA,0.0,0.0,32.0,0.0,0.0
879,2020-07-01 2020-07-31,Cincinnati OH,49.0,21.0,25.0,8.0,0.0
880,2020-07-01 2020-07-31,Clarksburg-Weston WV,0.0,0.0,29.0,0.0,0.0
881,2020-07-01 2020-07-31,Cleveland-Akron (Canton) OH,30.0,32.0,18.0,16.0,5.0
882,2020-07-01 2020-07-31,Colorado Springs-Pueblo CO,0.0,0.0,17.0,0.0,0.0
883,2020-07-01 2020-07-31,Columbia SC,0.0,0.0,12.0,0.0,0.0
884,2020-07-01 2020-07-31,Columbia-Jefferson City MO,0.0,0.0,13.0,29.0,0.0
885,2020-07-01 2020-07-31,Columbus GA,0.0,0.0,33.0,0.0,0.0
886,2020-07-01 2020-07-31,Columbus OH,0.0,0.0,22.0,9.0,9.0
887,2020-07-01 2020-07-31,Columbus-Tupelo-West Point MS,0.0,0.0,6.0,0.0,0.0
888,2020-07-01 2020-07-31,Corpus Christi TX,0.0,0.0,16.0,0.0,43.0
889,2020-07-01 2020-07-31,Dallas-Ft. Worth TX,39.0,17.0,23.0,5.0,14.0
890,2020-07-01 2020-07-31,Davenport IA-Rock Island-Moline IL,0.0,0.0,28.0,18.0,0.0
891,2020-07-01 2020-07-31,Dayton OH,0.0,51.0,22.0,0.0,21.0
892,2020-07-01 2020-07-31,Denver CO,38.0,25.0,18.0,4.0,4.0
893,2020-07-01 2020-07-31,Des Moines-Ames IA,35.0,22.0,15.0,18.0,0.0
894,2020-07-01 2020-07-31,Detroit MI,29.0,9.0,15.0,10.0,19.0
895,2020-07-01 2020-07-31,Dothan AL,0.0,0.0,32.0,0.0,0.0
896,2020-07-01 2020-07-31,Duluth MN-Superior WI,0.0,0.0,0.0,0.0,0.0
897,2020-07-01 2020-07-31,El Paso TX,0.0,0.0,20.0,0.0,0.0
898,2020-07-01 2020-07-31,Elmira NY,0.0,0.0,17.0,0.0,0.0
899,2020-07-01 2020-07-31,Erie PA,0.0,0.0,9.0,0.0,63.0
900,2020-07-01 2020-07-31,Eugene OR,0.0,0.0,28.0,19.0,0.0
901,2020-07-01 2020-07-31,Eureka CA,0.0,0.0,0.0,75.0,0.0
902,2020-07-01 2020-07-31,Evansville IN,0.0,0.0,21.0,20.0,0.0
903,2020-07-01 2020-07-31,Fairbanks AK,0.0,0.0,72.0,0.0,0.0
904,2020-07-01 2020-07-31,Fargo-Valley City ND,0.0,0.0,13.0,0.0,0.0
905,2020-07-01 2020-07-31,Flint-Saginaw-Bay City MI,0.0,0.0,29.0,0.0,23.0
906,2020-07-01 2020-07-31,Florence-Myrtle Beach SC,0.0,0.0,26.0,0.0,28.0
907,2020-07-01 2020-07-31,Fresno-Visalia CA,49.0,16.0,16.0,6.0,25.0
908,2020-07-01 2020-07-31,Ft. Myers-Naples FL,0.0,65.0,15.0,18.0,18.0
909,2020-07-01 2020-07-31,Ft. Smith-Fayetteville-Springdale-Rogers AR,0.0,0.0,32.0,0.0,0.0
910,2020-07-01 2020-07-31,Ft. Wayne IN,0.0,0.0,23.0,19.0,0.0
911,2020-07-01 2020-07-31,Gainesville FL,0.0,0.0,28.0,0.0,61.0
912,2020-07-01 2020-07-31,Glendive MT,0.0,0.0,0.0,0.0,0.0
913,2020-07-01 2020-07-31,Grand Junction-Montrose CO,0.0,0.0,9.0,0.0,0.0
914,2020-07-01 2020-07-31,Grand Rapids-Kalamazoo-Battle Creek MI,0.0,13.0,41.0,11.0,0.0
915,2020-07-01 2020-07-31,Great Falls MT,0.0,0.0,0.0,0.0,0.0
916,2020-07-01 2020-07-31,Green Bay-Appleton WI,0.0,0.0,15.0,0.0,0.0
917,2020-07-01 2020-07-31,Greensboro-High Point-Winston Salem NC,0.0,32.0,20.0,20.0,13.0
918,2020-07-01 2020-07-31,Greenville-New Bern-Washington NC,0.0,0.0,20.0,15.0,0.0
919,2020-07-01 2020-07-31,Greenville-Spartanburg SC-Asheville NC-Anderson SC,60.0,38.0,22.0,5.0,41.0
920,2020-07-01 2020-07-31,Greenwood-Greenville MS,0.0,0.0,68.0,0.0,0.0
921,2020-07-01 2020-07-31,Harlingen-Weslaco-Brownsville-McAllen TX,0.0,0.0,12.0,0.0,18.0
922,2020-07-01 2020-07-31,Harrisburg-Lancaster-Lebanon-York PA,47.0,15.0,16.0,6.0,49.0
923,2020-07-01 2020-07-31,Harrisonburg VA,0.0,0.0,40.0,0.0,0.0
924,2020-07-01 2020-07-31,Hartford & New Haven CT,27.0,34.0,14.0,7.0,21.0
925,2020-07-01 2020-07-31,Hattiesburg-Laurel MS,0.0,0.0,25.0,0.0,0.0
926,2020-07-01 2020-07-31,Helena MT,0.0,0.0,73.0,0.0,0.0
927,2020-07-01 2020-07-31,Honolulu HI,33.0,0.0,18.0,0.0,17.0
928,2020-07-01 2020-07-31,Houston TX,25.0,25.0,20.0,6.0,20.0
929,2020-07-01 2020-07-31,Huntsville-Decatur (Florence) AL,0.0,0.0,17.0,13.0,0.0
930,2020-07-01 2020-07-31,Idaho Falls-Pocatello ID,0.0,0.0,10.0,0.0,0.0
931,2020-07-01 2020-07-31,Indianapolis IN,28.0,9.0,21.0,11.0,7.0
932,2020-07-01 2020-07-31,Jackson MS,0.0,0.0,21.0,14.0,0.0
933,2020-07-01 2020-07-31,Jackson TN,0.0,0.0,27.0,0.0,0.0
934,2020-07-01 2020-07-31,Jacksonville FL,0.0,27.0,21.0,0.0,33.0
935,2020-07-01 2020-07-31,Johnstown-Altoona PA,0.0,0.0,30.0,0.0,0.0
936,2020-07-01 2020-07-31,Jonesboro AR,0.0,0.0,43.0,0.0,0.0
937,2020-07-01 2020-07-31,Joplin MO-Pittsburg KS,0.0,0.0,37.0,0.0,0.0
938,2020-07-01 2020-07-31,Juneau AK,0.0,0.0,0.0,0.0,0.0
939,2020-07-01 2020-07-31,Kansas City MO,65.0,21.0,17.0,13.0,25.0
940,2020-07-01 2020-07-31,Knoxville TN,0.0,42.0,17.0,0.0,17.0
941,2020-07-01 2020-07-31,La Crosse-Eau Claire WI,0.0,0.0,15.0,24.0,0.0
942,2020-07-01 2020-07-31,Lafayette IN,0.0,0.0,15.0,0.0,0.0
943,2020-07-01 2020-07-31,Lafayette LA,0.0,0.0,29.0,0.0,48.0
944,2020-07-01 2020-07-31,Lake Charles LA,0.0,0.0,41.0,54.0,0.0
945,2020-07-01 2020-07-31,Lansing MI,0.0,0.0,28.0,0.0,0.0
946,2020-07-01 2020-07-31,Laredo TX,0.0,0.0,21.0,0.0,0.0
947,2020-07-01 2020-07-31,Las Vegas NV,17.0,32.0,22.0,13.0,9.0
948,2020-07-01 2020-07-31,Lexington KY,0.0,0.0,24.0,20.0,40.0
949,2020-07-01 2020-07-31,Lima OH,0.0,0.0,100.0,0.0,0.0
950,2020-07-01 2020-07-31,Lincoln & Hastings-Kearney NE,0.0,0.0,11.0,0.0,0.0
951,2020-07-01 2020-07-31,Little Rock-Pine Bluff AR,0.0,65.0,28.0,0.0,18.0
952,2020-07-01 2020-07-31,Los Angeles CA,41.0,14.0,16.0,9.0,8.0
953,2020-07-01 2020-07-31,Louisville KY,0.0,45.0,22.0,0.0,0.0
954,2020-07-01 2020-07-31,Lubbock TX,0.0,0.0,27.0,0.0,0.0
955,2020-07-01 2020-07-31,Macon GA,0.0,0.0,18.0,20.0,0.0
956,2020-07-01 2020-07-31,Madison WI,0.0,52.0,14.0,0.0,0.0
957,2020-07-01 2020-07-31,Mankato MN,0.0,0.0,0.0,0.0,0.0
958,2020-07-01 2020-07-31,Marquette MI,0.0,0.0,9.0,0.0,0.0
959,2020-07-01 2020-07-31,Medford-Klamath Falls OR,0.0,0.0,24.0,26.0,0.0
960,2020-07-01 2020-07-31,Memphis TN,0.0,0.0,21.0,0.0,0.0
961,2020-07-01 2020-07-31,Meridian MS,0.0,0.0,0.0,0.0,0.0
962,2020-07-01 2020-07-31,Miami-Ft. Lauderdale FL,23.0,5.0,17.0,10.0,4.0
963,2020-07-01 2020-07-31,Milwaukee WI,61.0,0.0,10.0,4.0,8.0
964,2020-07-01 2020-07-31,Minneapolis-St. Paul MN,48.0,26.0,16.0,12.0,8.0
965,2020-07-01 2020-07-31,Minot-Bismarck-Dickinson(Williston) ND,0.0,0.0,41.0,0.0,0.0
966,2020-07-01 2020-07-31,Missoula MT,0.0,0.0,29.0,38.0,0.0
967,2020-07-01 2020-07-31,Mobile AL-Pensacola (Ft. Walton Beach) FL,0.0,74.0,23.0,15.0,30.0
968,2020-07-01 2020-07-31,Monroe LA-El Dorado AR,0.0,0.0,30.0,0.0,0.0
969,2020-07-01 2020-07-31,Monterey-Salinas CA,0.0,0.0,7.0,0.0,64.0
970,2020-07-01 2020-07-31,Montgomery (Selma) AL,0.0,0.0,17.0,0.0,0.0
971,2020-07-01 2020-07-31,Nashville TN,26.0,16.0,25.0,3.0,13.0
972,2020-07-01 2020-07-31,New Orleans LA,23.0,0.0,26.0,6.0,12.0
973,2020-07-01 2020-07-31,New York NY,20.0,11.0,11.0,10.0,12.0
974,2020-07-01 2020-07-31,Norfolk-Portsmouth-Newport News VA,35.0,0.0,22.0,5.0,9.0
975,2020-07-01 2020-07-31,North Platte NE,0.0,0.0,0.0,0.0,0.0
976,2020-07-01 2020-07-31,Odessa-Midland TX,0.0,0.0,49.0,0.0,0.0
977,2020-07-01 2020-07-31,Oklahoma City OK,0.0,16.0,25.0,6.0,0.0
978,2020-07-01 2020-07-31,Omaha NE,0.0,42.0,18.0,9.0,0.0
979,2020-07-01 2020-07-31,Orlando-Daytona Beach-Melbourne FL,16.0,25.0,19.0,14.0,16.0
980,2020-07-01 2020-07-31,Ottumwa IA-Kirksville MO,0.0,0.0,20.0,0.0,0.0
981,2020-07-01 2020-07-31,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0.0,0.0,33.0,17.0,34.0
982,2020-07-01 2020-07-31,Palm Springs CA,0.0,0.0,30.0,0.0,0.0
983,2020-07-01 2020-07-31,Panama City FL,0.0,0.0,42.0,28.0,0.0
984,2020-07-01 2020-07-31,Parkersburg WV,0.0,0.0,0.0,0.0,0.0
985,2020-07-01 2020-07-31,Peoria-Bloomington IL,0.0,0.0,20.0,19.0,39.0
986,2020-07-01 2020-07-31,Philadelphia PA,21.0,11.0,14.0,11.0,7.0
987,2020-07-01 2020-07-31,Phoenix AZ,28.0,13.0,19.0,5.0,14.0
988,2020-07-01 2020-07-31,Pittsburgh PA,15.0,0.0,18.0,11.0,15.0
989,2020-07-01 2020-07-31,Portland OR,22.0,43.0,15.0,9.0,12.0
990,2020-07-01 2020-07-31,Portland-Auburn ME,37.0,0.0,9.0,10.0,39.0
991,2020-07-01 2020-07-31,Presque Isle ME,0.0,0.0,0.0,0.0,0.0
992,2020-07-01 2020-07-31,Providence RI-New Bedford MA,0.0,15.0,9.0,6.0,24.0
993,2020-07-01 2020-07-31,Quincy IL-Hannibal MO-Keokuk IA,0.0,0.0,29.0,0.0,0.0
994,2020-07-01 2020-07-31,Raleigh-Durham (Fayetteville) NC,20.0,6.0,18.0,0.0,5.0
995,2020-07-01 2020-07-31,Rapid City SD,0.0,0.0,58.0,0.0,0.0
996,2020-07-01 2020-07-31,Reno NV,0.0,36.0,13.0,29.0,29.0
997,2020-07-01 2020-07-31,Richmond-Petersburg VA,54.0,0.0,15.0,14.0,28.0
998,2020-07-01 2020-07-31,Roanoke-Lynchburg VA,0.0,0.0,21.0,0.0,0.0
999,2020-07-01 2020-07-31,Rochester MN-Mason City IA-Austin MN,0.0,0.0,49.0,0.0,0.0
1000,2020-07-01 2020-07-31,Rochester NY,0.0,0.0,11.0,21.0,42.0
1001,2020-07-01 2020-07-31,Rockford IL,0.0,0.0,24.0,0.0,0.0
1002,2020-07-01 2020-07-31,Sacramento-Stockton-Modesto CA,36.0,6.0,15.0,7.0,28.0
1003,2020-07-01 2020-07-31,Salisbury MD,0.0,0.0,6.0,0.0,0.0
1004,2020-07-01 2020-07-31,Salt Lake City UT,100.0,16.0,27.0,13.0,0.0
1005,2020-07-01 2020-07-31,San Angelo TX,0.0,0.0,11.0,0.0,0.0
1006,2020-07-01 2020-07-31,San Antonio TX,28.0,27.0,27.0,0.0,15.0
1007,2020-07-01 2020-07-31,San Diego CA,61.0,20.0,15.0,8.0,16.0
1008,2020-07-01 2020-07-31,San Francisco-Oakland-San Jose CA,23.0,20.0,11.0,11.0,6.0
1009,2020-07-01 2020-07-31,Santa Barbara-Santa Maria-San Luis Obispo CA,0.0,0.0,16.0,31.0,0.0
1010,2020-07-01 2020-07-31,Savannah GA,0.0,0.0,39.0,0.0,23.0
1011,2020-07-01 2020-07-31,Seattle-Tacoma WA,33.0,21.0,16.0,20.0,0.0
1012,2020-07-01 2020-07-31,Sherman TX-Ada OK,0.0,0.0,14.0,0.0,0.0
1013,2020-07-01 2020-07-31,Shreveport LA,0.0,0.0,5.0,0.0,32.0
1014,2020-07-01 2020-07-31,Sioux City IA,0.0,0.0,17.0,38.0,0.0
1015,2020-07-01 2020-07-31,Sioux Falls(Mitchell) SD,0.0,0.0,27.0,0.0,0.0
1016,2020-07-01 2020-07-31,South Bend-Elkhart IN,0.0,0.0,27.0,0.0,59.0
1017,2020-07-01 2020-07-31,Spokane WA,0.0,53.0,16.0,11.0,21.0
1018,2020-07-01 2020-07-31,Springfield MO,0.0,0.0,19.0,0.0,0.0
1019,2020-07-01 2020-07-31,Springfield-Holyoke MA,0.0,0.0,7.0,0.0,31.0
1020,2020-07-01 2020-07-31,St. Joseph MO,0.0,0.0,19.0,0.0,0.0
1021,2020-07-01 2020-07-31,St. Louis MO,25.0,0.0,22.0,19.0,6.0
1022,2020-07-01 2020-07-31,Syracuse NY,0.0,0.0,25.0,0.0,46.0
1023,2020-07-01 2020-07-31,Tallahassee FL-Thomasville GA,0.0,0.0,15.0,0.0,0.0
1024,2020-07-01 2020-07-31,Tampa-St. Petersburg (Sarasota) FL,31.0,20.0,14.0,12.0,4.0
1025,2020-07-01 2020-07-31,Terre Haute IN,0.0,0.0,7.0,0.0,0.0
1026,2020-07-01 2020-07-31,Toledo OH,0.0,28.0,29.0,0.0,23.0
1027,2020-07-01 2020-07-31,Topeka KS,0.0,0.0,8.0,0.0,0.0
1028,2020-07-01 2020-07-31,Traverse City-Cadillac MI,0.0,0.0,19.0,0.0,0.0
1029,2020-07-01 2020-07-31,Tri-Cities TN-VA,0.0,0.0,16.0,0.0,0.0
1030,2020-07-01 2020-07-31,Tucson (Sierra Vista) AZ,0.0,49.0,24.0,10.0,0.0
1031,2020-07-01 2020-07-31,Tulsa OK,0.0,23.0,19.0,0.0,38.0
1032,2020-07-01 2020-07-31,Twin Falls ID,0.0,0.0,11.0,0.0,0.0
