,state,wave,Avoiding contact with other people: Not at all closely,Avoiding contact with other people: Not very closely,Avoiding contact with other people: Somewhat closely,Avoiding contact with other people: Very closely,Avoiding contact with other people: Error Margin,Avoiding contact with other people: N,Avoiding public or crowded places: Not at all closely,Avoiding public or crowded places: Not very closely,Avoiding public or crowded places: Somewhat closely,Avoiding public or crowded places: Very closely,Avoiding public or crowded places: Error Margin,Avoiding public or crowded places: N,Frequently washing hands: Not at all closely,Frequently washing hands: Not very closely,Frequently washing hands: Somewhat closely,Frequently washing hands: Very closely,Frequently washing hands: Error Margin,Frequently washing hands: N,Disinfecting often: Not at all closely,Disinfecting often: Not very closely,Disinfecting often: Somewhat closely,Disinfecting often: Very closely,Disinfecting often: Error Margin,Disinfecting often: N,Wearing a face mask when outside of your home: Not at all closely,Wearing a face mask when outside of your home: Not very closely,Wearing a face mask when outside of your home: Somewhat closely,Wearing a face mask when outside of your home: Very closely,Wearing a face mask when outside of your home: Error Margin,Wearing a face mask when outside of your home: N
22,ME,1,1.3,3.8,31.2,63.7,5.9,320,1.7,1.8,17.3,79.2,5.0,319,1.5,2.3,17.1,79.2,5.0,319,4.7,7.3,30.1,57.9,6.1,318,20.6,14.5,18.4,46.4,6.1,319
23,MI,1,2.2,2.8,19.4,75.6,4.5,476,1.6,3.1,14.9,80.5,4.1,477,0.8,2.3,16.5,80.4,4.1,478,1.9,10.2,29.2,58.6,5.1,478,12.7,8.7,20.2,58.5,5.1,478
24,MN,1,1.5,4.6,27.4,66.5,5.0,445,2.1,4.6,18.0,75.3,4.6,444,1.8,4.0,17.8,76.5,4.5,443,4.6,12.3,27.9,55.3,5.3,444,26.3,12.6,17.6,43.5,5.3,444
25,MO,1,3.2,5.6,32.9,58.3,5.4,423,3.3,4.2,20.1,72.3,4.9,425,2.8,2.2,15.5,79.6,4.4,424,5.1,9.0,25.5,60.4,5.3,425,22.5,16.0,17.5,44.1,5.4,423
26,MS,1,3.6,5.5,33.5,57.4,6.7,383,3.6,4.5,26.6,65.3,6.4,383,1.7,1.5,17.2,79.6,5.5,381,4.6,6.4,26.3,62.7,6.6,379,20.8,9.9,16.6,52.8,6.8,376
27,MT,1,0.6,7.4,41.1,50.9,7.7,214,0.3,4.6,30.0,65.1,7.3,214,1.7,6.0,22.8,69.5,7.1,212,3.1,12.4,30.8,53.6,7.6,214,25.6,21.3,21.0,32.1,7.2,213
28,NC,1,2.1,4.8,24.1,68.9,4.7,450,1.7,4.4,21.6,72.2,4.6,449,0.2,2.6,15.2,82.0,3.9,450,2.2,8.1,25.7,64.0,4.9,448,20.3,12.5,23.8,43.5,5.1,448
29,ND,1,6.8,5.2,40.1,47.8,11.1,165,2.0,4.8,30.9,62.3,10.8,165,1.2,1.8,27.0,70.0,10.2,165,2.0,11.1,39.6,47.4,11.1,165,20.1,28.5,24.3,27.1,10.0,165
30,NE,1,2.6,5.8,37.4,54.2,6.8,326,2.1,6.9,25.6,65.4,6.5,327,0.2,3.8,17.4,78.6,5.6,326,2.4,8.4,27.4,61.7,6.7,327,24.6,12.4,21.8,41.2,6.7,328
31,NH,1,1.4,4.4,27.1,67.1,6.1,352,1.3,1.1,20.3,77.3,5.5,349,0.1,2.2,15.9,81.8,5.0,351,3.1,8.3,34.4,54.3,6.5,351,13.0,9.9,23.1,54.0,6.5,352
32,NJ,1,1.6,1.4,19.0,78.0,4.5,470,1.2,1.7,13.5,83.5,4.0,474,0.0,2.4,14.7,82.9,4.0,474,2.9,8.5,21.0,67.6,5.0,474,2.6,5.5,13.7,78.2,4.4,474
33,NM,1,0.4,6.8,39.0,53.8,13.2,121,1.0,6.2,17.0,75.8,11.4,121,2.6,1.4,11.2,84.9,9.5,121,4.1,7.0,25.8,63.1,12.8,121,17.1,12.0,28.8,42.1,13.1,121
34,NV,1,2.2,3.5,27.1,67.2,5.8,433,1.1,4.2,16.3,78.3,5.1,434,0.9,2.2,10.4,86.5,4.2,433,2.0,7.9,29.9,60.1,6.1,433,17.4,14.7,13.1,54.8,6.1,434
35,NY,1,0.4,1.8,18.8,79.0,4.1,539,0.8,0.9,18.1,80.2,4.0,539,0.6,2.0,14.3,83.2,3.8,540,1.6,6.1,27.1,65.1,4.8,535,3.4,6.0,15.1,75.5,4.4,537
36,OH,1,1.1,4.0,24.9,70.1,4.6,471,1.5,2.8,20.6,75.1,4.3,469,1.4,2.9,14.0,81.7,3.8,471,3.7,7.7,24.8,63.8,4.8,468,20.5,15.1,19.9,44.5,4.9,472
37,OK,1,2.7,8.3,28.8,60.2,5.8,424,1.1,6.5,24.7,67.7,5.5,424,1.5,3.4,15.3,79.8,4.7,423,4.3,8.6,27.1,60.0,5.8,421,16.9,15.5,24.9,42.7,5.8,422
38,OR,1,0.6,5.8,29.5,64.1,5.2,443,1.3,2.0,17.9,78.7,4.4,442,0.9,3.7,16.3,79.1,4.4,443,3.0,10.3,30.0,56.7,5.3,443,17.1,15.1,19.1,48.6,5.4,443
39,PA,1,1.0,4.1,23.3,71.5,4.5,463,0.9,3.0,20.6,75.6,4.3,464,0.2,4.4,15.8,79.6,4.1,463,2.4,8.6,27.5,61.5,4.9,464,8.0,9.8,19.6,62.6,4.9,461
40,RI,1,0.8,1.7,22.8,74.7,6.3,296,0.9,2.7,19.2,77.2,6.1,296,2.1,5.4,17.2,75.3,6.2,295,4.6,12.2,24.9,58.3,7.1,295,6.1,5.9,16.2,71.9,6.5,293
41,SC,1,1.2,4.7,29.8,64.3,5.4,432,1.7,4.3,21.5,72.6,5.0,433,1.3,1.9,15.5,81.4,4.4,428,3.2,10.4,24.7,61.7,5.5,432,21.0,18.9,21.2,38.8,5.5,428
42,SD,1,0.8,4.5,38.8,55.8,9.5,180,0.4,4.2,25.6,69.8,8.8,180,0.9,1.2,24.4,73.6,8.5,178,2.3,11.6,30.3,55.7,9.6,179,21.5,19.3,32.2,27.0,9.0,180
43,TN,1,1.0,7.9,25.0,66.1,5.2,435,1.1,3.9,18.5,76.5,4.7,434,0.7,3.8,13.4,82.1,4.3,433,2.6,7.7,24.0,65.7,5.3,433,17.0,14.0,17.6,51.4,5.5,434
44,TX,1,1.2,2.5,26.7,69.6,5.0,534,0.3,3.3,19.2,77.2,4.6,533,0.6,2.6,13.8,83.0,4.1,533,1.1,7.6,22.3,69.0,5.1,527,10.2,10.0,21.6,58.2,5.4,531
45,UT,1,1.8,5.0,36.2,57.0,5.9,409,2.0,5.4,21.4,71.2,5.4,409,1.3,2.5,16.0,80.2,4.8,408,2.8,11.7,24.5,61.0,5.8,408,19.2,20.2,23.9,36.7,5.8,408
46,VA,1,0.9,5.0,21.7,72.4,4.7,466,0.4,3.8,20.9,74.9,4.5,464,0.1,2.9,14.7,82.2,4.0,467,1.8,9.3,25.1,63.8,5.0,466,14.4,12.0,19.6,54.0,5.2,463
47,VT,1,0.8,2.4,22.2,74.7,7.8,176,0.0,2.7,16.4,81.0,7.1,174,3.9,1.0,15.8,79.4,7.3,176,4.9,8.3,22.5,64.3,8.6,176,15.3,8.8,17.0,58.9,8.9,175
48,WA,1,1.0,5.2,25.6,68.2,5.8,368,1.3,4.8,19.9,74.0,5.5,367,0.6,2.6,18.8,78.0,5.2,367,2.7,12.9,31.7,52.7,6.2,367,21.3,13.5,21.4,43.8,6.2,367
49,WI,1,1.6,4.9,31.3,62.3,5.2,434,1.3,4.1,22.0,72.5,4.8,432,1.0,2.3,20.8,76.0,4.6,432,3.5,12.5,29.8,54.2,5.4,432,22.8,19.2,19.7,38.3,5.2,433
50,WV,1,5.0,3.6,24.2,67.2,5.9,362,2.7,3.7,18.2,75.4,5.4,362,1.3,3.6,13.3,81.8,4.9,361,4.6,8.4,26.7,60.4,6.2,361,16.1,16.4,15.6,51.9,6.3,359
51,WY,1,3.2,12.6,33.3,50.8,11.0,145,6.3,4.5,28.6,60.6,10.7,145,1.0,7.8,18.4,72.8,9.8,145,4.0,14.5,28.7,52.8,11.0,145,30.9,19.9,17.7,31.4,10.2,145
52,National,2,2.5,5.3,29.9,62.4,0.9,20210,2.3,4.5,21.3,71.9,0.8,20201,1.2,3.2,17.6,78.0,0.7,20199,3.2,9.8,28.5,58.5,0.9,20184,10.2,9.2,19.0,61.5,0.9,20147
53,AK,2,0.6,7.5,42.5,49.5,10.4,134,2.1,4.9,27.0,66.1,9.8,135,1.1,7.2,14.3,77.3,8.7,135,3.0,9.1,29.1,58.9,10.2,135,11.0,9.3,21.4,58.3,10.2,135
54,AL,2,3.8,5.1,31.8,59.3,6.3,381,3.9,3.5,22.4,70.3,5.9,383,1.4,3.0,15.8,79.8,5.1,383,3.1,8.1,24.6,64.2,6.2,382,10.3,15.9,19.1,54.6,6.4,382
55,AR,2,3.4,8.8,40.6,47.3,7.1,365,4.1,6.9,28.2,60.8,7.0,365,0.6,4.1,23.5,71.8,6.5,363,3.8,12.1,31.9,52.2,7.2,365,20.9,15.9,22.4,40.7,7.1,362
56,AZ,2,2.5,6.4,32.3,58.8,7.4,316,2.8,3.7,26.3,67.2,7.1,318,2.7,3.1,16.5,77.7,6.3,318,6.1,13.4,25.9,54.6,7.5,316,17.3,9.7,22.0,51.0,7.6,315
57,CA,2,1.3,4.6,22.9,71.2,4.1,729,0.7,4.3,16.9,78.1,3.7,729,1.1,2.6,17.2,79.0,3.7,728,2.9,9.8,29.4,57.9,4.5,724,3.0,5.4,16.5,75.2,3.9,725
58,CO,2,2.0,10.3,33.5,54.2,6.3,387,2.2,6.3,28.2,63.2,6.1,388,1.7,7.0,17.6,73.7,5.5,387,5.2,11.6,26.1,57.1,6.2,388,9.5,10.4,19.5,60.6,6.1,388
59,CT,2,2.0,1.9,27.7,68.4,6.0,358,1.4,4.3,18.7,75.7,5.6,356,0.5,1.0,13.7,84.8,4.7,358,1.9,10.3,24.3,63.4,6.3,356,2.8,2.7,15.2,79.4,5.3,355
60,DC,2,1.6,3.9,22.9,71.6,9.3,167,0.8,1.2,14.9,83.0,7.8,166,0.4,0.7,15.2,83.7,7.6,167,1.5,7.7,24.0,66.8,9.7,167,1.2,1.8,16.8,80.2,8.3,167
61,DE,2,1.1,3.3,29.5,66.1,6.1,340,1.0,2.5,17.0,79.5,5.2,338,0.4,1.5,17.0,81.1,5.1,336,1.5,8.5,25.3,64.7,6.2,337,0.9,0.7,12.8,85.6,4.6,337
62,FL,2,1.6,4.2,27.0,67.2,4.2,663,1.8,4.3,18.6,75.3,3.8,664,0.0,4.7,16.7,78.6,3.7,665,3.1,10.2,24.8,62.0,4.3,662,7.8,9.6,19.6,63.0,4.3,661
63,GA,2,3.1,4.4,23.2,69.3,5.1,493,3.0,2.0,17.6,77.4,4.6,493,1.5,2.0,17.6,79.0,4.5,495,3.0,4.3,26.0,66.6,5.2,491,10.6,9.3,14.7,65.4,5.2,494
64,HI,2,4.6,7.2,35.5,52.8,8.9,215,6.2,5.3,21.4,67.2,8.4,214,0.6,4.6,17.6,77.2,7.5,216,5.8,12.3,31.1,50.8,8.9,215,4.3,3.1,18.3,74.2,7.8,216
65,IA,2,2.0,5.5,42.5,50.1,6.0,389,1.6,4.1,28.6,65.8,5.7,387,1.7,6.5,21.9,70.0,5.5,385,4.7,15.5,33.1,46.7,6.0,386,17.9,18.2,22.6,41.2,5.9,387
66,ID,2,4.4,6.7,40.1,48.8,6.4,358,4.1,5.6,27.8,62.5,6.2,359,0.5,3.2,23.2,73.0,5.7,358,4.8,11.8,36.1,47.3,6.4,359,20.3,21.1,20.0,38.6,6.3,357
67,IL,2,3.5,6.0,25.4,65.2,4.7,532,2.8,6.5,20.0,70.7,4.5,529,0.9,3.6,22.0,73.5,4.4,531,5.3,11.9,30.2,52.6,4.9,529,5.9,6.2,21.8,66.2,4.7,531
68,IN,2,2.6,6.6,32.4,58.4,5.7,445,3.6,4.6,21.8,70.0,5.3,444,1.0,3.3,19.4,76.3,4.9,442,2.9,10.4,34.6,52.0,5.8,445,12.1,9.9,23.9,54.0,5.7,445
69,KS,2,3.5,5.0,33.1,58.3,5.9,442,2.2,5.2,25.0,67.5,5.6,438,0.7,4.0,19.7,75.6,5.1,442,4.1,9.5,23.5,62.9,5.8,439,17.6,14.5,20.4,47.5,6.0,437
70,KY,2,2.9,2.6,31.4,63.1,5.7,400,2.6,2.1,19.5,75.8,5.1,398,1.3,2.5,21.8,74.5,5.1,399,3.1,8.8,31.5,56.7,5.8,400,13.6,11.6,23.4,51.4,5.9,396
71,LA,2,3.6,5.3,26.2,64.9,6.5,389,2.2,3.7,19.6,74.5,5.9,390,2.7,3.3,14.0,80.0,5.5,388,3.6,10.1,22.6,63.6,6.6,387,20.5,9.7,16.9,52.9,6.8,385
72,MA,2,0.9,2.2,26.7,70.1,4.6,473,1.3,3.2,16.2,79.2,4.1,471,1.3,1.8,17.7,79.3,4.1,471,2.6,6.2,26.2,65.0,4.8,470,1.8,5.4,15.2,77.7,4.2,469
73,MD,2,0.4,2.7,22.6,74.2,5.1,400,0.2,2.5,16.5,80.8,4.6,400,1.9,3.3,15.3,79.6,4.7,400,2.0,11.2,25.9,60.9,5.7,400,1.4,2.3,14.9,81.4,4.5,398
74,ME,2,2.5,3.6,29.0,64.9,5.5,371,2.9,3.1,18.6,75.4,5.0,371,1.4,3.4,15.5,79.6,4.6,371,2.9,6.8,31.5,58.7,5.7,370,9.5,7.4,17.2,65.9,5.5,370
75,MI,2,2.0,5.2,27.4,65.5,4.7,526,1.2,3.1,23.1,72.6,4.4,523,2.1,2.9,15.3,79.7,4.0,525,2.7,10.8,31.9,54.6,4.9,524,7.3,7.0,17.7,68.1,4.6,523
76,MN,2,2.8,5.9,33.8,57.5,5.8,418,2.5,4.6,23.8,69.1,5.4,420,1.2,6.2,22.1,70.4,5.4,417,7.5,11.8,35.0,45.8,5.8,417,20.5,10.3,24.9,44.3,5.8,420
77,MO,2,2.5,8.4,32.8,56.3,5.1,475,3.4,5.2,23.8,67.7,4.8,478,1.2,5.7,18.7,74.5,4.5,476,2.8,11.6,31.3,54.3,5.1,477,15.6,12.8,20.8,50.9,5.1,476
